year,campus,programme,category,list,lowest_rank_admitted,source_url
2081,Purwanchal,Computer,Full-fee,first,1664,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,Computer,Regular,first,375,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,Electrical,Full-fee,first,4532,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,Electrical,Regular,first,1277,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,"Electronics, Communication and Information",Full-fee,first,3325,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,"Electronics, Communication and Information",Regular,first,1156,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,Mechanical,Full-fee,first,6418,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Purwanchal,Mechanical,Regular,first,2508,https://web.archive.org/web/20250430193309id_/https://admission.ioepc.edu.np/notice-details/110
2081,Thapathali,Architecture,Full-fee,first,2262,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Architecture,Regular,first,860,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Automobile,Full-fee,first,4478,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Automobile,Regular,first,1084,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Civil,Full-fee,first,1032,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Civil,Regular,first,278,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Computer,Full-fee,first,266,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Computer,Regular,first,76,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,"Electronics, Communication and Information",Full-fee,first,708,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,"Electronics, Communication and Information",Regular,first,149,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Industrial,Full-fee,first,5923,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Industrial,Regular,first,1540,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Mechanical,Full-fee,first,1430,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2081,Thapathali,Mechanical,Regular,first,480,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_211116.pdf
2080,Pashchimanchal,Automobile,Full-fee,first,6138,https://ioepas.edu.np/3775
2080,Pashchimanchal,Automobile,Regular,first,2369,https://ioepas.edu.np/3775
2080,Pashchimanchal,Civil,Full-fee,first,1528,https://ioepas.edu.np/3775
2080,Pashchimanchal,Civil,Regular,first,460,https://ioepas.edu.np/3775
2080,Pashchimanchal,Computer,Full-fee,first,717,https://ioepas.edu.np/3775
2080,Pashchimanchal,Computer,Regular,first,191,https://ioepas.edu.np/3775
2080,Pashchimanchal,Electrical,Full-fee,first,2470,https://ioepas.edu.np/3775
2080,Pashchimanchal,Electrical,Regular,first,757,https://ioepas.edu.np/3775
2080,Pashchimanchal,"Electronics, Communication and Information",Full-fee,first,1870,https://ioepas.edu.np/3775
2080,Pashchimanchal,"Electronics, Communication and Information",Regular,first,514,https://ioepas.edu.np/3775
2080,Pashchimanchal,Geomatics,Full-fee,first,3108,https://ioepas.edu.np/3775
2080,Pashchimanchal,Geomatics,Regular,first,1324,https://ioepas.edu.np/3775
2080,Pashchimanchal,Mechanical,Full-fee,first,2714,https://ioepas.edu.np/3775
2080,Pashchimanchal,Mechanical,Regular,first,1025,https://ioepas.edu.np/3775
2080,Pulchowk,Aerospace,Full-fee,first,1853,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Aerospace,Regular,first,524,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Architecture,Full-fee,first,1235,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Architecture,Regular,first,724,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Chemical,Full-fee,first,3125,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Chemical,Regular,first,1028,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Civil,Full-fee,first,610,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Civil,Regular,first,231,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Computer,Full-fee,first,209,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Computer,Regular,first,29,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Electrical,Full-fee,first,1303,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Electrical,Regular,first,504,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,"Electronics, Communication and Information",Full-fee,first,365,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,"Electronics, Communication and Information",Regular,first,125,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Mechanical,Full-fee,first,939,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Pulchowk,Mechanical,Regular,first,351,https://pcampus.edu.np/2023/11/29/be-barch-admission-2080-first-admission-list/
2080,Purwanchal,Agriculture,Full-fee,first,6707,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Agriculture,Regular,first,2735,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Architecture,Full-fee,first,4142,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Architecture,Regular,first,1998,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Civil,Full-fee,first,2052,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Civil,Regular,first,828,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Computer,Full-fee,first,1477,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Computer,Regular,first,456,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Electrical,Full-fee,first,3449,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Electrical,Regular,first,1196,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,"Electronics, Communication and Information",Full-fee,first,3125,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,"Electronics, Communication and Information",Regular,first,1085,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Mechanical,Full-fee,first,4677,https://www.ioepc.edu.np/info/2423/
2080,Purwanchal,Mechanical,Regular,first,1591,https://www.ioepc.edu.np/info/2423/
2080,Thapathali,Architecture,Full-fee,first,1707,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Architecture,Regular,first,857,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Automobile,Full-fee,first,3834,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Automobile,Regular,first,1600,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Civil,Full-fee,first,937,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Civil,Regular,first,273,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Computer,Full-fee,first,324,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Computer,Regular,first,80,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,"Electronics, Communication and Information",Full-fee,first,629,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,"Electronics, Communication and Information",Regular,first,221,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Industrial,Full-fee,first,4965,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Industrial,Regular,first,1445,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Mechanical,Full-fee,first,1404,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2080,Thapathali,Mechanical,Regular,first,488,https://cdn.tcioe.edu.np/media/files/first_admission_list_2080.pdf
2079,Pashchimanchal,Automobile,Full-fee,first,4861,https://ioepas.edu.np/3285
2079,Pashchimanchal,Automobile,Regular,first,2524,https://ioepas.edu.np/3285
2079,Pashchimanchal,Civil,Full-fee,first,1090,https://ioepas.edu.np/3285
2079,Pashchimanchal,Civil,Regular,first,523,https://ioepas.edu.np/3285
2079,Pashchimanchal,Computer,Full-fee,first,730,https://ioepas.edu.np/3285
2079,Pashchimanchal,Computer,Regular,first,325,https://ioepas.edu.np/3285
2079,Pashchimanchal,Electrical,Full-fee,first,1998,https://ioepas.edu.np/3285
2079,Pashchimanchal,Electrical,Regular,first,1049,https://ioepas.edu.np/3285
2079,Pashchimanchal,"Electronics, Communication and Information",Full-fee,first,1487,https://ioepas.edu.np/3285
2079,Pashchimanchal,"Electronics, Communication and Information",Regular,first,776,https://ioepas.edu.np/3285
2079,Pashchimanchal,Geomatics,Full-fee,first,2092,https://ioepas.edu.np/3285
2079,Pashchimanchal,Geomatics,Regular,first,1202,https://ioepas.edu.np/3285
2079,Pashchimanchal,Mechanical,Full-fee,first,2407,https://ioepas.edu.np/3285
2079,Pashchimanchal,Mechanical,Regular,first,1275,https://ioepas.edu.np/3285
2079,Pulchowk,Aerospace,Full-fee,first,1570,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Aerospace,Regular,first,487,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Architecture,Full-fee,first,1241,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Architecture,Regular,first,796,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Chemical,Full-fee,first,4070,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Chemical,Regular,first,1169,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Civil,Full-fee,first,419,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Civil,Regular,first,193,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Computer,Full-fee,first,203,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Computer,Regular,first,51,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Electrical,Full-fee,first,1308,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Electrical,Regular,first,477,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,"Electronics, Communication and Information",Full-fee,first,388,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,"Electronics, Communication and Information",Regular,first,242,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Mechanical,Full-fee,first,785,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Pulchowk,Mechanical,Regular,first,369,https://pcampus.edu.np/downloads/2079/be/BEBArch_First_Admission_List_2079.pdf
2079,Purwanchal,Agriculture,Full-fee,first,4702,
2079,Purwanchal,Agriculture,Regular,first,2371,
2079,Purwanchal,Architecture,Full-fee,first,3555,
2079,Purwanchal,Architecture,Regular,first,1882,
2079,Purwanchal,Civil,Full-fee,first,1559,
2079,Purwanchal,Civil,Regular,first,704,
2079,Purwanchal,Computer,Full-fee,first,1485,
2079,Purwanchal,Computer,Regular,first,646,
2079,Purwanchal,Electrical,Full-fee,first,2512,
2079,Purwanchal,Electrical,Regular,first,1203,
2079,Purwanchal,"Electronics, Communication and Information",Full-fee,first,2602,
2079,Purwanchal,"Electronics, Communication and Information",Regular,first,1337,
2079,Purwanchal,Mechanical,Full-fee,first,3669,
2079,Purwanchal,Mechanical,Regular,first,1910,
2079,Thapathali,Architecture,Full-fee,first,1601,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Architecture,Regular,first,938,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Automobile,Full-fee,first,2874,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Automobile,Regular,first,1546,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Civil,Full-fee,first,674,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Civil,Regular,first,310,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Computer,Full-fee,first,365,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Computer,Regular,first,163,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,"Electronics, Communication and Information",Full-fee,first,737,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,"Electronics, Communication and Information",Regular,first,399,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Industrial,Full-fee,first,2926,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Industrial,Regular,first,1438,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Mechanical,Full-fee,first,1359,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
2079,Thapathali,Mechanical,Regular,first,599,https://cdn.tcioe.edu.np/media/files/1672032446.pdf
